Date,Type,Link
2025-08-08 21:03:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7359246872378523651
2025-08-08 20:55:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7359177574767296513
2025-08-08 20:53:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7359584912263274497
2025-08-08 17:57:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7359311306199318528
2025-08-08 17:43:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7359312449113583616
2025-08-02 22:00:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7357501260238868480
2025-08-01 09:31:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349354519689887744
2025-07-30 11:22:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7355543422868283393?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7355543422868283393%2C7355864243650371585%29
2025-07-30 11:22:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7355543422868283393
2025-07-28 07:48:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7345831865099898883
2025-07-28 07:46:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7354052346550673409?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7354052346550673409%2C7354059690193883136%29
2025-07-26 15:07:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7354721366429880320
2025-07-25 22:42:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7354562180723142656?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7354562180723142656%2C7354616392039473154%29
2025-07-25 12:58:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7354432709793886208
2025-07-24 10:49:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7353771415763890177
2025-07-24 10:47:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A80784-7299657029667696640
2025-07-24 10:41:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348241773242023936
2025-07-22 07:09:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7353195626366406656
2025-07-21 14:57:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7353070317944086528
2025-07-20 19:02:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7352480502760525824
2025-07-19 12:27:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351164636651581441?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7351164636651581441%2C7351794831649562624%29
2025-07-19 12:18:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351601767240851457
2025-07-19 11:41:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351665301702307841
2025-07-18 21:37:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351372186781159428
2025-07-18 21:34:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351285665013137409
2025-07-18 21:15:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7352053388068519938
2025-07-16 14:07:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351121306349711361?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7351121306349711361%2C7351157602421989377%29
2025-07-16 14:07:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351121306349711361
2025-07-16 05:24:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351077198771990529
2025-07-15 19:56:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350913572794703873
2025-07-15 13:53:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350788447957049345
2025-07-14 18:44:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350464171492151296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7350464171492151296%2C7350472839562518528%29
